STATE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra_Pradesh,5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389,15084,12731,13450,13663
Assam,1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407,8636,9626,11225,9321
Bihar,1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686,4533,4672,3792,3794
Gujarat,3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658,7812,5991,4133,3732
Haryana,1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137,3617,3478,3525,3313
Karnataka,1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684,3276,3025,2732,2556
Kerala,2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216,4820,4919,3668,3455
Madhya_Pradesh,2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988,4988,6451,5281,6264
Maharashtra,6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415,8542,7696,7640,7215
Odisha,1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638,2792,3114,3605,2781
Punjab,1128,944,987,801,729,801,971,984,1061,1163,1136,1293,1741,1681,1583,1568
Rajasthan,5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312,15094,15905,14383,13811
Tamil_Nadu,815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965,2471,2103,1900,1256
Uttar_Pradesh,7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661,8781,10471,8660,11156
West_Bengal,3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865,18116,23278,20163,19302
