STATE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra_Pradesh,420,449,466,512,443,519,613,556,546,588,599,504,492,504,436,447
Assam,59,70,60,74,99,105,100,103,170,175,121,140,170,188,216,157
Bihar,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275,1182,1373,1154,987
Gujarat,67,62,54,58,48,50,42,27,24,19,30,21,29,23,12,12
Haryana,285,256,222,251,212,255,269,302,281,284,255,258,263,293,243,260
Karnataka,220,233,194,259,261,244,251,259,264,248,267,218,277,313,254,234
Kerala,27,17,33,31,21,25,27,31,20,22,15,32,21,28,8,25
Madhya_Pradesh,609,674,648,751,739,764,742,805,858,892,811,743,776,733,664,629
Maharashtra,308,303,368,314,341,387,436,390,341,393,339,329,320,279,268,248
Odisha,294,248,279,319,334,457,461,401,384,388,465,525,395,441,356,397
Punjab,159,166,110,113,99,130,133,128,126,121,143,118,126,90,85,80
Rajasthan,376,399,389,379,361,394,439,439,436,462,514,478,453,408,463,462
Tamil_Nadu,191,243,220,225,215,187,208,207,194,165,152,110,118,95,65,58
Uttar_Pradesh,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335,2469,2335,2473
West_Bengal,265,273,329,396,446,445,451,451,506,507,510,593,481,501,498,535
